Number,Time,y_1,v_1,a_1,y_2,v_2,a_2,y_3,v_3,a_3,
587,11.740,36.107,-3.990,-0.000,143.767,-45.230,-9.794,144.604,-45.169,-9.810,
588,11.760,36.027,-3.990,-0.000,142.858,-45.426,-9.794,143.697,-45.366,-9.810,
589,11.780,35.947,-3.990,-0.000,141.946,-45.622,-9.794,142.785,-45.562,-9.810,
590,11.800,35.867,-3.990,-0.000,141.029,-45.818,-9.793,141.870,-45.758,-9.810,
591,11.820,35.788,-3.990,-0.000,140.109,-46.014,-9.793,140.951,-45.954,-9.810,
592,11.840,35.708,-3.990,-0.000,139.185,-46.210,-9.793,140.028,-46.150,-9.810,
593,11.860,35.628,-3.990,-0.000,138.257,-46.406,-9.793,139.101,-46.347,-9.810,
594,11.880,35.548,-3.990,-0.000,137.325,-46.601,-9.793,138.170,-46.543,-9.810,
595,11.900,35.468,-3.990,-0.000,136.389,-46.797,-9.793,137.236,-46.739,-9.810,
596,11.920,35.389,-3.990,-0.000,135.449,-46.993,-9.793,136.297,-46.935,-9.810,
597,11.940,35.309,-3.990,-0.000,134.505,-47.189,-9.793,135.354,-47.131,-9.810,
598,11.960,35.229,-3.990,-0.000,133.558,-47.385,-9.792,134.408,-47.328,-9.810,
599,11.980,35.149,-3.990,-0.000,132.606,-47.581,-9.792,133.457,-47.524,-9.810,
600,12.000,35.069,-3.990,-0.000,131.650,-47.776,-9.792,132.503,-47.720,-9.810,
601,12.020,34.990,-3.990,-0.000,130.691,-47.972,-9.792,131.544,-47.916,-9.810,
602,12.040,34.910,-3.990,-0.000,129.728,-48.168,-9.792,130.582,-48.112,-9.810,
603,12.060,34.830,-3.990,-0.000,128.760,-48.364,-9.792,129.616,-48.309,-9.810,
604,12.080,34.750,-3.990,-0.000,127.789,-48.560,-9.792,128.646,-48.505,-9.810,
605,12.100,34.670,-3.990,-0.000,126.814,-48.756,-9.791,127.672,-48.701,-9.810,
606,12.120,34.591,-3.990,-0.000,125.835,-48.951,-9.791,126.694,-48.897,-9.810,
607,12.140,34.511,-3.990,-0.000,124.852,-49.147,-9.791,125.712,-49.093,-9.810,
608,12.160,34.431,-3.990,-0.000,123.865,-49.343,-9.791,124.726,-49.290,-9.810,
609,12.180,34.351,-3.990,-0.000,122.874,-49.539,-9.791,123.737,-49.486,-9.810,
610,12.200,34.271,-3.990,-0.000,121.880,-49.735,-9.791,122.743,-49.682,-9.810,
611,12.220,34.191,-3.990,-0.000,120.881,-49.931,-9.790,121.745,-49.878,-9.810,
612,12.240,34.112,-3.990,-0.000,119.879,-50.126,-9.790,120.744,-50.074,-9.810,
613,12.260,34.032,-3.990,-0.000,118.872,-50.322,-9.790,119.739,-50.271,-9.810,
614,12.280,33.952,-3.990,-0.000,117.862,-50.518,-9.790,118.729,-50.467,-9.810,
615,12.300,33.872,-3.990,-0.000,116.847,-50.714,-9.790,117.716,-50.663,-9.810,
616,12.320,33.792,-3.990,-0.000,115.829,-50.910,-9.790,116.699,-50.859,-9.810,
617,12.340,33.713,-3.990,-0.000,114.807,-51.105,-9.790,115.678,-51.055,-9.810,
618,12.360,33.633,-3.990,-0.000,113.781,-51.301,-9.789,114.653,-51.252,-9.810,
619,12.380,33.553,-3.990,-0.000,112.751,-51.497,-9.789,113.624,-51.448,-9.810,
620,12.400,33.473,-3.990,-0.000,111.717,-51.693,-9.789,112.591,-51.644,-9.810,
621,12.420,33.393,-3.990,-0.000,110.680,-51.889,-9.789,111.554,-51.840,-9.810,
622,12.440,33.314,-3.990,-0.000,109.638,-52.084,-9.789,110.513,-52.036,-9.810,
623,12.460,33.234,-3.990,-0.000,108.592,-52.280,-9.789,109.469,-52.233,-9.810,
624,12.480,33.154,-3.990,-0.000,107.543,-52.476,-9.788,108.420,-52.429,-9.810,
625,12.500,33.074,-3.990,-0.000,106.489,-52.672,-9.788,107.368,-52.625,-9.810,
626,12.520,32.994,-3.990,-0.000,105.432,-52.867,-9.788,106.311,-52.821,-9.810,
627,12.540,32.915,-3.990,-0.000,104.371,-53.063,-9.788,105.251,-53.017,-9.810,
628,12.560,32.835,-3.990,-0.000,103.306,-53.259,-9.788,104.186,-53.214,-9.810,
629,12.580,32.755,-3.990,-0.000,102.236,-53.455,-9.788,103.118,-53.410,-9.810,
630,12.600,32.675,-3.990,-0.000,101.163,-53.650,-9.788,102.046,-53.606,-9.810,
631,12.620,32.595,-3.990,-0.000,100.087,-53.846,-9.787,100.970,-53.802,-9.810,
632,12.640,32.516,-3.990,-0.000,99.006,-54.042,-9.787,99.890,-53.998,-9.810,
633,12.660,32.436,-3.990,-0.000,97.921,-54.238,-9.787,98.806,-54.195,-9.810,
634,12.680,32.356,-3.990,-0.000,96.832,-54.433,-9.787,97.718,-54.391,-9.810,
635,12.700,32.276,-3.990,-0.000,95.740,-54.629,-9.787,96.627,-54.587,-9.810,
636,12.720,32.196,-3.990,-0.000,94.643,-54.825,-9.787,95.531,-54.783,-9.810,
637,12.740,32.117,-3.990,-0.000,93.543,-55.021,-9.786,94.431,-54.979,-9.810,
638,12.760,32.037,-3.990,-0.000,92.438,-55.216,-9.786,93.328,-55.176,-9.810,
639,12.780,31.957,-3.990,-0.000,91.330,-55.412,-9.786,92.220,-55.372,-9.810,
640,12.800,31.877,-3.990,-0.000,90.218,-55.608,-9.786,91.109,-55.568,-9.810,
641,12.820,31.797,-3.990,-0.000,89.102,-55.804,-9.786,89.994,-55.764,-9.810,
642,12.840,31.717,-3.990,-0.000,87.982,-55.999,-9.786,88.875,-55.960,-9.810,
643,12.860,31.638,-3.990,-0.000,86.858,-56.195,-9.785,87.751,-56.157,-9.810,
644,12.880,31.558,-3.990,-0.000,85.730,-56.391,-9.785,86.624,-56.353,-9.810,
645,12.900,31.478,-3.990,-0.000,84.599,-56.586,-9.785,85.493,-56.549,-9.810,
646,12.920,31.398,-3.990,-0.000,83.463,-56.782,-9.785,84.359,-56.745,-9.810,
647,12.940,31.318,-3.990,-0.000,82.323,-56.978,-9.785,83.220,-56.941,-9.810,
648,12.960,31.239,-3.990,-0.000,81.180,-57.173,-9.785,82.077,-57.138,-9.810,
649,12.980,31.159,-3.990,-0.000,80.033,-57.369,-9.784,80.930,-57.334,-9.810,
650,13.000,31.079,-3.990,-0.000,78.881,-57.565,-9.784,79.780,-57.530,-9.810,
651,13.020,30.999,-3.990,-0.000,77.726,-57.760,-9.784,78.625,-57.726,-9.810,
652,13.040,30.919,-3.990,-0.000,76.567,-57.956,-9.784,77.467,-57.922,-9.810,
653,13.060,30.840,-3.990,-0.000,75.404,-58.152,-9.784,76.304,-58.119,-9.810,
654,13.080,30.760,-3.990,-0.000,74.237,-58.348,-9.783,75.138,-58.315,-9.810,
655,13.100,30.680,-3.990,-0.000,73.066,-58.543,-9.783,73.968,-58.511,-9.810,
656,13.120,30.600,-3.990,-0.000,71.891,-58.739,-9.783,72.794,-58.707,-9.810,
657,13.140,30.520,-3.990,-0.000,70.713,-58.935,-9.783,71.616,-58.903,-9.810,
658,13.160,30.441,-3.990,-0.000,69.530,-59.130,-9.783,70.434,-59.100,-9.810,
659,13.180,30.361,-3.990,-0.000,68.343,-59.326,-9.783,69.248,-59.296,-9.810,
660,13.200,30.281,-3.990,-0.000,67.153,-59.521,-9.782,68.058,-59.492,-9.810,
661,13.220,30.201,-3.990,-0.000,65.959,-59.717,-9.782,66.864,-59.688,-9.810,
662,13.240,30.121,-3.990,-0.000,64.760,-59.913,-9.782,65.666,-59.884,-9.810,
663,13.260,30.042,-3.990,-0.000,63.558,-60.108,-9.782,64.465,-60.081,-9.810,
664,13.280,29.962,-3.990,-0.000,62.352,-60.304,-9.782,63.259,-60.277,-9.810,
665,13.300,29.882,-3.990,-0.000,61.142,-60.500,-9.782,62.050,-60.473,-9.810,
666,13.320,29.802,-3.990,-0.000,59.928,-60.695,-9.781,60.836,-60.669,-9.810,
667,13.340,29.722,-3.990,-0.000,58.710,-60.891,-9.781,59.619,-60.865,-9.810,
668,13.360,29.642,-3.990,-0.000,57.489,-61.087,-9.781,58.398,-61.062,-9.810,
669,13.380,29.563,-3.990,-0.000,56.263,-61.282,-9.781,57.173,-61.258,-9.810,
670,13.400,29.483,-3.990,-0.000,55.034,-61.478,-9.781,55.944,-61.454,-9.810,
671,13.420,29.403,-3.990,-0.000,53.800,-61.673,-9.780,54.711,-61.650,-9.810,
672,13.440,29.323,-3.990,-0.000,52.563,-61.869,-9.780,53.474,-61.846,-9.810,
673,13.460,29.243,-3.990,-0.000,51.321,-62.065,-9.780,52.233,-62.043,-9.810,
674,13.480,29.164,-3.990,-0.000,50.076,-62.260,-9.780,50.988,-62.239,-9.810,
675,13.500,29.084,-3.990,-0.000,48.827,-62.456,-9.780,49.739,-62.435,-9.810,
676,13.520,29.004,-3.990,-0.000,47.574,-62.651,-9.779,48.487,-62.631,-9.810,
677,13.540,28.924,-3.990,-0.000,46.317,-62.847,-9.779,47.230,-62.827,-9.810,
678,13.560,28.844,-3.990,-0.000,45.056,-63.043,-9.779,45.970,-63.024,-9.810,
679,13.580,28.765,-3.990,-0.000,43.791,-63.238,-9.779,44.705,-63.220,-9.810,
680,13.600,28.685,-3.990,-0.000,42.523,-63.434,-9.779,43.437,-63.416,-9.810,
681,13.620,28.605,-3.990,-0.000,41.250,-63.629,-9.779,42.165,-63.612,-9.810,
682,13.640,28.525,-3.990,-0.000,39.974,-63.825,-9.778,40.889,-63.808,-9.810,
683,13.660,28.445,-3.990,-0.000,38.693,-64.020,-9.778,39.609,-64.005,-9.810,
684,13.680,28.366,-3.990,-0.000,37.409,-64.216,-9.778,38.325,-64.201,-9.810,
685,13.700,28.286,-3.990,-0.000,36.121,-64.412,-9.778,37.037,-64.397,-9.810,
686,13.720,28.206,-3.990,-0.000,34.829,-64.607,-9.778,35.745,-64.593,-9.810,
687,13.740,28.126,-3.990,-0.000,33.533,-64.803,-9.777,34.449,-64.789,-9.810,
688,13.760,28.046,-3.990,-0.000,32.233,-64.998,-9.777,33.149,-64.986,-9.810,
689,13.780,27.967,-3.990,-0.000,30.929,-65.194,-9.777,31.846,-65.182,-9.810,
690,13.800,27.887,-3.990,-0.000,29.621,-65.389,-9.777,30.538,-65.378,-9.810,
691,13.820,27.807,-3.990,-0.000,28.309,-65.585,-9.777,29.227,-65.574,-9.810,
692,13.840,27.727,-3.990,-0.000,26.994,-65.780,-9.776,27.911,-65.770,-9.810,
693,13.860,27.647,-3.990,-0.000,25.674,-65.976,-9.776,26.592,-65.967,-9.810,
694,13.880,27.567,-3.990,-0.000,24.351,-66.171,-9.776,25.269,-66.163,-9.810,
695,13.900,27.488,-3.990,-0.000,23.023,-66.367,-9.776,23.941,-66.359,-9.810,
696,13.920,27.408,-3.990,-0.000,21.692,-66.562,-9.776,22.610,-66.555,-9.810,
697,13.940,27.328,-3.990,-0.000,20.357,-66.758,-9.775,21.275,-66.751,-9.810,
698,13.960,27.248,-3.990,-0.000,19.018,-66.954,-9.775,19.936,-66.948,-9.810,
699,13.980,27.168,-3.990,-0.000,17.675,-67.149,-9.775,18.593,-67.144,-9.810,
700,14.000,27.089,-3.990,-0.000,16.328,-67.345,-9.775,17.247,-67.340,-9.810,
701,14.020,27.009,-3.990,-0.000,14.977,-67.540,-9.775,15.896,-67.536,-9.810,
702,14.040,26.929,-3.990,-0.000,13.622,-67.736,-9.774,14.541,-67.732,-9.810,
703,14.060,26.849,-3.990,-0.000,12.264,-67.931,-9.774,13.183,-67.929,-9.810,
704,14.080,26.769,-3.990,-0.000,10.901,-68.126,-9.774,11.820,-68.125,-9.810,
705,14.100,26.690,-3.990,-0.000,9.535,-68.322,-9.774,10.454,-68.321,-9.810,
706,14.120,26.610,-3.990,-0.000,8.165,-68.517,-9.774,9.083,-68.517,-9.810,
707,14.140,26.530,-3.990,-0.000,6.790,-68.713,-9.773,7.709,-68.713,-9.810,
708,14.160,26.450,-3.990,-0.000,5.412,-68.908,-9.773,6.331,-68.910,-9.810,
709,14.180,26.370,-3.990,-0.000,4.030,-69.104,-9.773,4.949,-69.106,-9.810,
710,14.200,26.291,-3.990,-0.000,2.644,-69.299,-9.773,3.563,-69.302,-9.810,
711,14.220,26.211,-3.990,-0.000,1.254,-69.495,-9.773,2.173,-69.498,-9.810,
712,14.240,26.131,-3.990,-0.000,-0.140,-69.690,-9.772,0.779,-69.694,-9.810,
713,14.260,26.051,-3.990,-0.000,-1.537,-69.886,-9.772,-0.619,-69.891,-9.810,
714,14.280,25.971,-3.990,-0.000,-2.939,-70.081,-9.772,-2.021,-70.087,-9.810,
715,14.300,25.892,-3.990,-0.000,-4.345,-70.277,-9.772,-3.426,-70.283,-9.810,
716,14.320,25.812,-3.990,-0.000,-5.754,-70.472,-9.772,-4.836,-70.479,-9.810,
717,14.340,25.732,-3.990,-0.000,-7.167,-70.667,-9.771,-6.249,-70.675,-9.810,
718,14.360,25.652,-3.990,-0.000,-8.585,-70.863,-9.771,-7.667,-70.872,-9.810,
719,14.380,25.572,-3.990,-0.000,-10.006,-71.058,-9.771,-9.088,-71.068,-9.810,
720,14.400,25.492,-3.990,-0.000,-11.431,-71.254,-9.771,-10.513,-71.264,-9.810,
721,14.420,25.413,-3.990,-0.000,-12.860,-71.449,-9.770,-11.943,-71.460,-9.810,
722,14.440,25.333,-3.990,-0.000,-14.293,-71.644,-9.770,-13.376,-71.656,-9.810,
723,14.460,25.253,-3.990,-0.000,-15.729,-71.840,-9.770,-14.813,-71.853,-9.810,
724,14.480,25.173,-3.990,-0.000,-17.170,-72.035,-9.770,-16.254,-72.049,-9.810,
725,14.500,25.093,-3.990,-0.000,-18.615,-72.231,-9.770,-17.699,-72.245,-9.810,
726,14.520,25.014,-3.990,-0.000,-20.063,-72.426,-9.769,-19.148,-72.441,-9.810,
727,14.540,24.934,-3.990,-0.000,-21.516,-72.621,-9.769,-20.600,-72.637,-9.810,
728,14.560,24.854,-3.990,-0.000,-22.972,-72.817,-9.769,-22.057,-72.834,-9.810,
729,14.580,24.774,-3.990,-0.000,-24.432,-73.012,-9.769,-23.518,-73.030,-9.810,
730,14.600,24.694,-3.990,-0.000,-25.896,-73.208,-9.768,-24.982,-73.226,-9.810,
731,14.620,24.615,-3.990,-0.000,-27.365,-73.403,-9.768,-26.451,-73.422,-9.810,
732,14.640,24.535,-3.990,-0.000,-28.837,-73.598,-9.768,-27.923,-73.618,-9.810,
733,14.660,24.455,-3.990,-0.000,-30.312,-73.794,-9.768,-29.399,-73.815,-9.810,
734,14.680,24.375,-3.990,-0.000,-31.792,-73.989,-9.768,-30.879,-74.011,-9.810,
735,14.700,24.295,-3.990,-0.000,-33.276,-74.184,-9.767,-32.364,-74.207,-9.810,
736,14.720,24.216,-3.990,-0.000,-34.763,-74.380,-9.767,-33.852,-74.403,-9.810,
737,14.740,24.136,-3.990,-0.000,-36.255,-74.575,-9.767,-35.344,-74.599,-9.810,
738,14.760,24.056,-3.990,-0.000,-37.750,-74.770,-9.767,-36.839,-74.796,-9.810,
739,14.780,23.976,-3.990,-0.000,-39.250,-74.966,-9.766,-38.339,-74.992,-9.810,
740,14.800,23.896,-3.990,-0.000,-40.753,-75.161,-9.766,-39.843,-75.188,-9.810,
741,14.820,23.816,-3.990,-0.000,-42.260,-75.356,-9.766,-41.351,-75.384,-9.810,
742,14.840,23.737,-3.990,-0.000,-43.771,-75.552,-9.766,-42.862,-75.580,-9.810,
743,14.860,23.657,-3.990,-0.000,-45.286,-75.747,-9.766,-44.378,-75.777,-9.810,
744,14.880,23.577,-3.990,-0.000,-46.805,-75.942,-9.765,-45.897,-75.973,-9.810,
745,14.900,23.497,-3.990,-0.000,-48.328,-76.138,-9.765,-47.421,-76.169,-9.810,
746,14.920,23.417,-3.990,-0.000,-49.854,-76.333,-9.765,-48.948,-76.365,-9.810,
747,14.940,23.338,-3.990,-0.000,-51.385,-76.528,-9.765,-50.479,-76.561,-9.810,
748,14.960,23.258,-3.990,-0.000,-52.919,-76.724,-9.764,-52.014,-76.758,-9.810,
749,14.980,23.178,-3.990,-0.000,-54.458,-76.919,-9.764,-53.553,-76.954,-9.810,
750,15.000,23.098,-3.990,-0.000,-56.000,-77.114,-9.764,-55.096,-77.150,-9.810,
751,15.020,23.018,-3.990,-0.000,-57.546,-77.309,-9.764,-56.643,-77.346,-9.810,
752,15.040,22.939,-3.990,-0.000,-59.096,-77.505,-9.764,-58.194,-77.542,-9.810,
753,15.060,22.859,-3.990,-0.000,-60.650,-77.700,-9.763,-59.749,-77.739,-9.810,
754,15.080,22.779,-3.990,-0.000,-62.208,-77.895,-9.763,-61.308,-77.935,-9.810,
755,15.100,22.699,-3.990,-0.000,-63.770,-78.091,-9.763,-62.870,-78.131,-9.810,
756,15.120,22.619,-3.990,-0.000,-65.336,-78.286,-9.763,-64.437,-78.327,-9.810,
757,15.140,22.540,-3.990,-0.000,-66.905,-78.481,-9.762,-66.007,-78.523,-9.810,
758,15.160,22.460,-3.990,-0.000,-68.479,-78.676,-9.762,-67.582,-78.720,-9.810,
759,15.180,22.380,-3.990,-0.000,-70.056,-78.872,-9.762,-69.160,-78.916,-9.810,
760,15.200,22.300,-3.990,-0.000,-71.638,-79.067,-9.762,-70.742,-79.112,-9.810,
761,15.220,22.220,-3.990,-0.000,-73.223,-79.262,-9.761,-72.328,-79.308,-9.810,
762,15.240,22.141,-3.990,-0.000,-74.812,-79.457,-9.761,-73.919,-79.504,-9.810,
763,15.260,22.061,-3.990,-0.000,-76.405,-79.652,-9.761,-75.513,-79.701,-9.810,
764,15.280,21.981,-3.990,-0.000,-78.002,-79.848,-9.761,-77.111,-79.897,-9.810,
765,15.300,21.901,-3.990,-0.000,-79.603,-80.043,-9.760,-78.712,-80.093,-9.810,
766,15.320,21.821,-3.990,-0.000,-81.208,-80.238,-9.760,-80.318,-80.289,-9.810,
767,15.340,21.741,-3.990,-0.000,-82.816,-80.433,-9.760,-81.928,-80.485,-9.810,
768,15.360,21.662,-3.990,-0.000,-84.429,-80.628,-9.760,-83.542,-80.682,-9.810,
769,15.380,21.582,-3.990,-0.000,-86.045,-80.824,-9.759,-85.159,-80.878,-9.810,
770,15.400,21.502,-3.990,-0.000,-87.666,-81.019,-9.759,-86.781,-81.074,-9.810,
771,15.420,21.422,-3.990,-0.000,-89.290,-81.214,-9.759,-88.406,-81.270,-9.810,
772,15.440,21.342,-3.990,-0.000,-90.918,-81.409,-9.759,-90.035,-81.466,-9.810,
773,15.460,21.263,-3.990,-0.000,-92.550,-81.604,-9.759,-91.669,-81.663,-9.810,
774,15.480,21.183,-3.990,-0.000,-94.186,-81.800,-9.758,-93.306,-81.859,-9.810,
775,15.500,21.103,-3.990,-0.000,-95.826,-81.995,-9.758,-94.947,-82.055,-9.810,
776,15.520,21.023,-3.990,-0.000,-97.470,-82.190,-9.758,-96.592,-82.251,-9.810,
777,15.540,20.943,-3.990,-0.000,-99.118,-82.385,-9.758,-98.241,-82.447,-9.810,
778,15.560,20.864,-3.990,-0.000,-100.769,-82.580,-9.757,-99.894,-82.644,-9.810,
779,15.580,20.784,-3.990,-0.000,-102.425,-82.775,-9.757,-101.550,-82.840,-9.810,
780,15.600,20.704,-3.990,-0.000,-104.084,-82.970,-9.757,-103.211,-83.036,-9.810,
781,15.620,20.624,-3.990,-0.000,-105.747,-83.166,-9.757,-104.876,-83.232,-9.810,
782,15.640,20.544,-3.990,-0.000,-107.415,-83.361,-9.756,-106.544,-83.428,-9.810,
783,15.660,20.465,-3.990,-0.000,-109.086,-83.556,-9.756,-108.217,-83.625,-9.810,
784,15.680,20.385,-3.990,-0.000,-110.761,-83.751,-9.756,-109.893,-83.821,-9.810,
785,15.700,20.305,-3.990,-0.000,-112.440,-83.946,-9.756,-111.574,-84.017,-9.810,
786,15.720,20.225,-3.990,-0.000,-114.123,-84.141,-9.755,-113.258,-84.213,-9.810,
787,15.740,20.145,-3.990,-0.000,-115.809,-84.336,-9.755,-114.946,-84.409,-9.810,
788,15.760,20.065,-3.990,-0.000,-117.500,-84.531,-9.755,-116.638,-84.606,-9.810,
789,15.780,19.986,-3.990,-0.000,-119.194,-84.727,-9.755,-118.334,-84.802,-9.810,
790,15.800,19.906,-3.990,-0.000,-120.893,-84.922,-9.754,-120.034,-84.998,-9.810,
791,15.820,19.826,-3.990,-0.000,-122.595,-85.117,-9.754,-121.738,-85.194,-9.810,
792,15.840,19.746,-3.990,-0.000,-124.301,-85.312,-9.754,-123.446,-85.390,-9.810,
793,15.860,19.666,-3.990,-0.000,-126.012,-85.507,-9.754,-125.158,-85.587,-9.810,
794,15.880,19.587,-3.990,-0.000,-127.726,-85.702,-9.753,-126.873,-85.783,-9.810,
795,15.900,19.507,-3.990,-0.000,-129.444,-85.897,-9.753,-128.593,-85.979,-9.810,
796,15.920,19.427,-3.990,-0.000,-131.165,-86.092,-9.753,-130.316,-86.175,-9.810,
797,15.940,19.347,-3.990,-0.000,-132.891,-86.287,-9.752,-132.044,-86.371,-9.810,
798,15.960,19.267,-3.990,-0.000,-134.621,-86.482,-9.752,-133.775,-86.568,-9.810,
799,15.980,19.188,-3.990,-0.000,-136.354,-86.677,-9.752,-135.510,-86.764,-9.810,
800,16.000,19.108,-3.990,-0.000,-138.092,-86.872,-9.752,-137.250,-86.960,-9.810,
801,16.020,19.028,-3.990,-0.000,-139.833,-87.067,-9.751,-138.993,-87.156,-9.810,
802,16.040,18.948,-3.990,-0.000,-141.578,-87.262,-9.751,-140.740,-87.352,-9.810,
803,16.060,18.868,-3.990,-0.000,-143.328,-87.457,-9.751,-142.491,-87.549,-9.810,
804,16.080,18.789,-3.990,-0.000,-145.081,-87.652,-9.751,-144.246,-87.745,-9.810,
805,16.100,18.709,-3.990,-0.000,-146.838,-87.847,-9.750,-146.004,-87.941,-9.810,
806,16.120,18.629,-3.990,-0.000,-148.598,-88.042,-9.750,-147.767,-88.137,-9.810,
807,16.140,18.549,-3.990,-0.000,-150.363,-88.237,-9.750,-149.534,-88.333,-9.810,
808,16.160,18.469,-3.990,-0.000,-152.132,-88.432,-9.750,-151.304,-88.530,-9.810,
809,16.180,18.390,-3.990,-0.000,-153.904,-88.627,-9.749,-153.079,-88.726,-9.810,
810,16.200,18.310,-3.990,-0.000,-155.681,-88.822,-9.749,-154.857,-88.922,-9.810,
811,16.220,18.230,-3.990,-0.000,-157.461,-89.017,-9.749,-156.640,-89.118,-9.810,
812,16.240,18.150,-3.990,-0.000,-159.245,-89.212,-9.749,-158.426,-89.314,-9.810,
813,16.260,18.070,-3.990,-0.000,-161.033,-89.407,-9.748,-160.216,-89.511,-9.810,
814,16.280,17.990,-3.990,-0.000,-162.826,-89.602,-9.748,-162.010,-89.707,-9.810,
815,16.300,17.911,-3.990,-0.000,-164.621,-89.797,-9.748,-163.808,-89.903,-9.810,
816,16.320,17.831,-3.990,-0.000,-166.421,-89.992,-9.747,-165.610,-90.099,-9.810,
817,16.340,17.751,-3.990,-0.000,-168.225,-90.187,-9.747,-167.416,-90.295,-9.810,
818,16.360,17.671,-3.990,-0.000,-170.033,-90.382,-9.747,-169.226,-90.492,-9.810,
819,16.380,17.591,-3.990,-0.000,-171.844,-90.577,-9.747,-171.040,-90.688,-9.810,
820,16.400,17.512,-3.990,-0.000,-173.660,-90.772,-9.746,-172.858,-90.884,-9.810,
821,16.420,17.432,-3.990,-0.000,-175.479,-90.967,-9.746,-174.679,-91.080,-9.810,
822,16.440,17.352,-3.990,-0.000,-177.302,-91.162,-9.746,-176.505,-91.276,-9.810,
823,16.460,17.272,-3.990,-0.000,-179.129,-91.357,-9.746,-178.334,-91.473,-9.810,
824,16.480,17.192,-3.990,-0.000,-180.960,-91.552,-9.745,-180.168,-91.669,-9.810,
825,16.500,17.113,-3.990,-0.000,-182.795,-91.747,-9.745,-182.005,-91.865,-9.810,
826,16.520,17.033,-3.990,-0.000,-184.634,-91.941,-9.745,-183.846,-92.061,-9.810,
827,16.540,16.953,-3.990,-0.000,-186.477,-92.136,-9.744,-185.691,-92.257,-9.810,
828,16.560,16.873,-3.990,-0.000,-188.324,-92.331,-9.744,-187.540,-92.454,-9.810,
829,16.580,16.793,-3.990,-0.000,-190.174,-92.526,-9.744,-189.393,-92.650,-9.810,
830,16.600,16.714,-3.990,-0.000,-192.028,-92.721,-9.744,-191.250,-92.846,-9.810,
831,16.620,16.634,-3.990,-0.000,-193.887,-92.916,-9.743,-193.111,-93.042,-9.810,
832,16.640,16.554,-3.990,-0.000,-195.749,-93.111,-9.743,-194.976,-93.238,-9.810,
833,16.660,16.474,-3.990,-0.000,-197.615,-93.306,-9.743,-196.845,-93.435,-9.810,
834,16.680,16.394,-3.990,-0.000,-199.485,-93.500,-9.743,-198.717,-93.631,-9.810,
835,16.700,16.314,-3.990,-0.000,-201.359,-93.695,-9.742,-200.594,-93.827,-9.810,
836,16.720,16.235,-3.990,-0.000,-203.237,-93.890,-9.742,-202.474,-94.023,-9.810,
837,16.740,16.155,-3.990,-0.000,-205.119,-94.085,-9.742,-204.359,-94.219,-9.810,
838,16.760,16.075,-3.990,-0.000,-207.004,-94.280,-9.741,-206.247,-94.416,-9.810,
839,16.780,15.995,-3.990,-0.000,-208.894,-94.475,-9.741,-208.139,-94.612,-9.810,
840,16.800,15.915,-3.990,-0.000,-210.787,-94.669,-9.741,-210.035,-94.808,-9.810,
841,16.820,15.836,-3.990,-0.000,-212.684,-94.864,-9.741,-211.935,-95.004,-9.810,
842,16.840,15.756,-3.990,-0.000,-214.585,-95.059,-9.740,-213.839,-95.200,-9.810,
843,16.860,15.676,-3.990,-0.000,-216.491,-95.254,-9.740,-215.747,-95.397,-9.810,
844,16.880,15.596,-3.990,-0.000,-218.400,-95.449,-9.740,-217.659,-95.593,-9.810,
845,16.900,15.516,-3.990,-0.000,-220.312,-95.643,-9.739,-219.575,-95.789,-9.810,
846,16.920,15.437,-3.990,-0.000,-222.229,-95.838,-9.739,-221.495,-95.985,-9.810,
847,16.940,15.357,-3.990,-0.000,-224.150,-96.033,-9.739,-223.418,-96.181,-9.810,
848,16.960,15.277,-3.990,-0.000,-226.074,-96.228,-9.739,-225.346,-96.378,-9.810,
849,16.980,15.197,-3.990,-0.000,-228.003,-96.423,-9.738,-227.277,-96.574,-9.810,
850,17.000,15.117,-3.990,-0.000,-229.935,-96.617,-9.738,-229.213,-96.770,-9.810,
851,17.020,15.038,-3.990,-0.000,-231.871,-96.812,-9.738,-231.152,-96.966,-9.810,
852,17.040,14.958,-3.990,-0.000,-233.812,-97.007,-9.737,-233.095,-97.162,-9.810,
853,17.060,14.878,-3.990,-0.000,-235.756,-97.202,-9.737,-235.042,-97.359,-9.810,
854,17.080,14.798,-3.990,-0.000,-237.703,-97.396,-9.737,-236.994,-97.555,-9.810,
855,17.100,14.718,-3.990,-0.000,-239.655,-97.591,-9.737,-238.949,-97.751,-9.810,
856,17.120,14.639,-3.990,-0.000,-241.611,-97.786,-9.736,-240.908,-97.947,-9.810,
857,17.140,14.559,-3.990,-0.000,-243.571,-97.981,-9.736,-242.870,-98.143,-9.810,
858,17.160,14.479,-3.990,-0.000,-245.534,-98.175,-9.736,-244.837,-98.340,-9.810,
859,17.180,14.399,-3.990,-0.000,-247.502,-98.370,-9.735,-246.808,-98.536,-9.810,
860,17.200,14.319,-3.990,-0.000,-249.473,-98.565,-9.735,-248.783,-98.732,-9.810,
861,17.220,14.239,-3.990,-0.000,-251.448,-98.759,-9.735,-250.761,-98.928,-9.810,
862,17.240,14.160,-3.990,-0.000,-253.427,-98.954,-9.734,-252.744,-99.124,-9.810,
863,17.260,14.080,-3.990,-0.000,-255.410,-99.149,-9.734,-254.730,-99.321,-9.810,
864,17.280,14.000,-3.990,-0.000,-257.397,-99.343,-9.734,-256.720,-99.517,-9.810,
